name,location,specialties,address
Medanta Institute,"Bangalore, Karnataka",Diabetes:Kidney:Heart Problems:Thyroid:Orthopedics,"Lal Path, Bangalore, Karnataka 534624"
Narayana Institute,"Surat, Gujarat",Orthopedics:Liver:Kidney:Stroke,"Mutti Chowk, Surat, Gujarat 079911"
AIIMS Institute,"Bhopal, Madhya Pradesh",Neurology:Gastroenterology,"Kala Circle, Bhopal, Madhya Pradesh 251354"
AIIMS Hospital,"Thiruvananthapuram, Kerala",Gastroenterology:Cancer:Heart Problems,"Sarma Street, Thiruvananthapuram, Kerala 980841"
Life Clinic,"Lucknow, Uttar Pradesh",Liver:Heart Problems:Diabetes:Orthopedics,"Lalla Street, Lucknow, Uttar Pradesh 182449"
Care Clinic,"Chennai, Tamil Nadu",Gastroenterology:Stroke:Thyroid:Orthopedics,"Oza Ganj, Chennai, Tamil Nadu 487401"
AIIMS Speciality Hospital,"Thiruvananthapuram, Kerala",Orthopedics:Thyroid:Kidney:Liver:Heart Problems,"Malhotra Marg, Thiruvananthapuram, Kerala 052427"
Shree Hospital,"Jaipur, Rajasthan",Neurology,"Sane Circle, Jaipur, Rajasthan 112805"
Narayana Medical Center,"Mumbai, Maharashtra",Kidney:Liver:Gastroenterology:Neurology,"Divan, Mumbai, Maharashtra 204505"
Fortis Clinic,"Indore, Madhya Pradesh",Gastroenterology:Orthopedics:Liver:Thyroid:Heart Problems,"Krish Ganj, Indore, Madhya Pradesh 586923"
Global Medical Center,"Chennai, Tamil Nadu",Cancer,"Goel Street, Chennai, Tamil Nadu 025634"
Fortis Clinic,"Surat, Gujarat",Diabetes:Neurology:Thyroid:Gastroenterology:Orthopedics,"Chokshi Street, Surat, Gujarat 073375"
Narayana Hospital,"Vadodara, Gujarat",Neurology:Thyroid:Gastroenterology:Liver,"Kari Road, Vadodara, Gujarat 036541"
Shree Institute,"Pune, Maharashtra",Stroke:Liver:Neurology,"Panchal Road, Pune, Maharashtra 850142"
Narayana Speciality Hospital,"Ahmedabad, Gujarat",Heart Problems:Cancer,"Lanka, Ahmedabad, Gujarat 196556"
Max Speciality Hospital,"Kochi, Kerala",Kidney:Heart Problems:Neurology:Gastroenterology,"Vaidya, Kochi, Kerala 693406"
AIIMS Medical Center,"Kochi, Kerala",Neurology:Stroke:Thyroid,"Venkatesh Nagar, Kochi, Kerala 561595"
Narayana Health Care,"Vadodara, Gujarat",Gastroenterology:Liver:Neurology,"Mital Zila, Vadodara, Gujarat 656482"
Medanta Health Care,"Lucknow, Uttar Pradesh",Liver:Stroke:Diabetes,"Salvi Ganj, Lucknow, Uttar Pradesh 299468"
Fortis Hospital,"Hyderabad, Telangana",Stroke:Kidney:Liver:Diabetes:Thyroid,"Modi Nagar, Hyderabad, Telangana 369957"
Shree Speciality Hospital,"Kolkata, West Bengal",Gastroenterology:Thyroid:Heart Problems:Liver,"Sathe Chowk, Kolkata, West Bengal 872148"
Life Health Care,"Bangalore, Karnataka",Diabetes:Neurology:Kidney:Stroke,"Nayak, Bangalore, Karnataka 343320"
Global Medical Center,"Bangalore, Karnataka",Cancer:Neurology,"Konda Nagar, Bangalore, Karnataka 917693"
Max Speciality Hospital,"Mumbai, Maharashtra",Thyroid,"Talwar Marg, Mumbai, Maharashtra 320163"
Max Clinic,"Indore, Madhya Pradesh",Diabetes,"Vasa Street, Indore, Madhya Pradesh 083172"
Care Speciality Hospital,"Bangalore, Karnataka",Heart Problems:Thyroid,"Wali Chowk, Bangalore, Karnataka 798687"
Apollo Institute,"Visakhapatnam, Andhra Pradesh",Neurology,"Soman Street, Visakhapatnam, Andhra Pradesh 434873"
Medanta Health Care,"Mumbai, Maharashtra",Orthopedics,"Sarraf Road, Mumbai, Maharashtra 434558"
Care Medical Center,"Coimbatore, Tamil Nadu",Stroke:Gastroenterology,"Devi Zila, Coimbatore, Tamil Nadu 362316"
Narayana Medical Center,"Thiruvananthapuram, Kerala",Neurology:Gastroenterology,"Narayanan Marg, Thiruvananthapuram, Kerala 603669"
Narayana Clinic,"Vadodara, Gujarat",Neurology:Kidney:Liver,"Rai Nagar, Vadodara, Gujarat 054668"
Shree Clinic,"Lucknow, Uttar Pradesh",Gastroenterology:Neurology:Stroke:Liver,"Kannan Circle, Lucknow, Uttar Pradesh 346706"
Global Hospital,"Hyderabad, Telangana",Heart Problems:Kidney,"Ravel Path, Hyderabad, Telangana 729806"
Care Speciality Hospital,"Chennai, Tamil Nadu",Liver:Neurology,"Bala, Chennai, Tamil Nadu 627204"
Life Speciality Hospital,"Visakhapatnam, Andhra Pradesh",Thyroid:Diabetes:Neurology,"Narang Marg, Visakhapatnam, Andhra Pradesh 755646"
Apollo Clinic,"New Delhi, Delhi",Neurology:Cancer,"Bumb Road, New Delhi, Delhi 080531"
Global Health Care,"Thiruvananthapuram, Kerala",Neurology:Liver,"Balasubramanian Nagar, Thiruvananthapuram, Kerala 309232"
Apollo Medical Center,"Patna, Bihar",Diabetes,"Contractor Chowk, Patna, Bihar 745299"
Global Hospital,"Surat, Gujarat",Cancer:Diabetes:Neurology:Liver:Gastroenterology,"Gade Zila, Surat, Gujarat 190496"
Narayana Medical Center,"Bhopal, Madhya Pradesh",Kidney:Diabetes:Heart Problems:Gastroenterology:Thyroid,"Issac Marg, Bhopal, Madhya Pradesh 931491"
Fortis Speciality Hospital,"Patna, Bihar",Stroke,"Barman, Patna, Bihar 865185"
AIIMS Health Care,"Visakhapatnam, Andhra Pradesh",Orthopedics:Thyroid:Stroke:Cancer,"Salvi Nagar, Visakhapatnam, Andhra Pradesh 165726"
Fortis Speciality Hospital,"Patna, Bihar",Cancer:Neurology:Stroke:Liver:Thyroid,"Vig Street, Patna, Bihar 987769"
Care Institute,"Coimbatore, Tamil Nadu",Thyroid:Liver:Neurology:Stroke,"Naidu Road, Coimbatore, Tamil Nadu 147379"
Shree Medical Center,"Lucknow, Uttar Pradesh",Cancer:Stroke,"Raghavan, Lucknow, Uttar Pradesh 075273"
Shree Hospital,"Lucknow, Uttar Pradesh",Orthopedics:Neurology:Diabetes,"Kuruvilla Path, Lucknow, Uttar Pradesh 494808"
AIIMS Speciality Hospital,"Surat, Gujarat",Liver,"Chada Ganj, Surat, Gujarat 678377"
Fortis Health Care,"Hyderabad, Telangana",Stroke:Liver,"Badal Chowk, Hyderabad, Telangana 436349"
Shree Health Care,"Hyderabad, Telangana",Neurology:Thyroid:Cancer:Gastroenterology:Heart Problems,"Solanki Path, Hyderabad, Telangana 685574"
Care Medical Center,"Kochi, Kerala",Orthopedics:Diabetes:Thyroid:Neurology,"Krishnamurthy Road, Kochi, Kerala 135182"
Global Health Care,"Jaipur, Rajasthan",Liver:Cancer:Thyroid:Heart Problems,"Kalita Ganj, Jaipur, Rajasthan 498941"
Apollo Speciality Hospital,"Chennai, Tamil Nadu",Kidney:Stroke:Orthopedics:Thyroid,"Minhas Ganj, Chennai, Tamil Nadu 524082"
Shree Medical Center,"Patna, Bihar",Stroke:Gastroenterology:Thyroid:Heart Problems:Neurology,"Bath Road, Patna, Bihar 842710"
AIIMS Hospital,"Jaipur, Rajasthan",Kidney,"Mane, Jaipur, Rajasthan 775204"
Narayana Speciality Hospital,"Bangalore, Karnataka",Orthopedics:Kidney,"Comar Chowk, Bangalore, Karnataka 671902"
Fortis Clinic,"Pune, Maharashtra",Thyroid:Neurology:Diabetes,"Modi Street, Pune, Maharashtra 318699"
Global Institute,"Mumbai, Maharashtra",Gastroenterology:Diabetes:Stroke:Heart Problems:Liver,"Kara, Mumbai, Maharashtra 774964"
Fortis Clinic,"Chennai, Tamil Nadu",Liver:Diabetes:Thyroid:Stroke,"Bhasin, Chennai, Tamil Nadu 334123"
Life Speciality Hospital,"Patna, Bihar",Diabetes:Kidney:Liver,"Borde Street, Patna, Bihar 067974"
Global Medical Center,"Visakhapatnam, Andhra Pradesh",Thyroid:Heart Problems:Gastroenterology,"Kata Nagar, Visakhapatnam, Andhra Pradesh 471349"
Care Institute,"Surat, Gujarat",Cancer,"Sandal Ganj, Surat, Gujarat 832421"
Global Speciality Hospital,"Mumbai, Maharashtra",Gastroenterology:Liver:Kidney:Neurology:Diabetes,"Gandhi Nagar, Mumbai, Maharashtra 994717"
AIIMS Medical Center,"Kolkata, West Bengal",Kidney:Stroke:Neurology:Gastroenterology:Diabetes,"Rau Road, Kolkata, West Bengal 887719"
Global Health Care,"Ahmedabad, Gujarat",Diabetes:Thyroid:Stroke,"Sankaran Nagar, Ahmedabad, Gujarat 940139"
Narayana Hospital,"Visakhapatnam, Andhra Pradesh",Heart Problems:Liver:Diabetes:Cancer:Thyroid,"Bail, Visakhapatnam, Andhra Pradesh 902787"
Max Clinic,"Surat, Gujarat",Neurology:Stroke,"Golla Road, Surat, Gujarat 717565"
Life Hospital,"Kolkata, West Bengal",Diabetes:Liver:Neurology,"Cheema Path, Kolkata, West Bengal 567468"
Life Hospital,"Indore, Madhya Pradesh",Kidney:Liver,"Sha Nagar, Indore, Madhya Pradesh 545168"
AIIMS Speciality Hospital,"Nagpur, Maharashtra",Orthopedics:Stroke:Kidney:Neurology:Gastroenterology,"Shere Nagar, Nagpur, Maharashtra 038597"
Narayana Hospital,"Mumbai, Maharashtra",Kidney:Gastroenterology:Diabetes:Cancer,"Behl Chowk, Mumbai, Maharashtra 482477"
Max Medical Center,"Thiruvananthapuram, Kerala",Cancer:Gastroenterology:Thyroid:Kidney,"Balakrishnan Zila, Thiruvananthapuram, Kerala 248086"
Global Medical Center,"Thiruvananthapuram, Kerala",Kidney:Stroke,"Kar Zila, Thiruvananthapuram, Kerala 712748"
Global Medical Center,"Bangalore, Karnataka",Thyroid:Orthopedics,"Sagar Road, Bangalore, Karnataka 737826"
Life Clinic,"Bangalore, Karnataka",Gastroenterology:Heart Problems,"Trivedi Ganj, Bangalore, Karnataka 146584"
Shree Speciality Hospital,"Visakhapatnam, Andhra Pradesh",Kidney:Orthopedics:Thyroid:Heart Problems:Diabetes,"Mandal Nagar, Visakhapatnam, Andhra Pradesh 997278"
Global Hospital,"New Delhi, Delhi",Liver,"Pai Chowk, New Delhi, Delhi 886753"
AIIMS Medical Center,"Bangalore, Karnataka",Cancer:Kidney:Neurology,"Rajagopal Ganj, Bangalore, Karnataka 605766"
Medanta Institute,"Hyderabad, Telangana",Neurology,"Tandon Street, Hyderabad, Telangana 289517"
Apollo Clinic,"Visakhapatnam, Andhra Pradesh",Neurology:Gastroenterology:Thyroid:Stroke,"Vora Zila, Visakhapatnam, Andhra Pradesh 026217"
Life Speciality Hospital,"Lucknow, Uttar Pradesh",Stroke:Cancer:Kidney:Neurology,"Nigam Road, Lucknow, Uttar Pradesh 158657"
Narayana Medical Center,"Pune, Maharashtra",Heart Problems,"Banik Circle, Pune, Maharashtra 343161"
Care Institute,"Vadodara, Gujarat",Neurology:Kidney,"Sawhney Zila, Vadodara, Gujarat 400504"
AIIMS Institute,"Indore, Madhya Pradesh",Stroke:Gastroenterology:Cancer:Thyroid,"Prasad Path, Indore, Madhya Pradesh 238692"
Shree Health Care,"Jaipur, Rajasthan",Heart Problems:Kidney:Liver,"Gill Street, Jaipur, Rajasthan 969379"
Fortis Speciality Hospital,"Vadodara, Gujarat",Liver,"Kata Street, Vadodara, Gujarat 474074"
Medanta Institute,"Kochi, Kerala",Liver,"Dugar Circle, Kochi, Kerala 759464"
Global Hospital,"Surat, Gujarat",Orthopedics:Cancer:Heart Problems:Stroke,"Mittal Chowk, Surat, Gujarat 671369"
Life Speciality Hospital,"Bangalore, Karnataka",Liver:Kidney:Gastroenterology,"Merchant Path, Bangalore, Karnataka 064090"
Apollo Health Care,"Pune, Maharashtra",Diabetes,"Taneja, Pune, Maharashtra 395339"
Care Institute,"Kochi, Kerala",Thyroid:Stroke:Orthopedics:Neurology,"Devan Road, Kochi, Kerala 047095"
Care Institute,"Chennai, Tamil Nadu",Gastroenterology:Diabetes:Liver:Heart Problems,"Chana Street, Chennai, Tamil Nadu 562328"
AIIMS Medical Center,"Ahmedabad, Gujarat",Gastroenterology:Kidney:Heart Problems:Liver,"Wali Path, Ahmedabad, Gujarat 247451"
Global Hospital,"Coimbatore, Tamil Nadu",Heart Problems:Stroke:Gastroenterology,"Borra Chowk, Coimbatore, Tamil Nadu 368516"
Narayana Hospital,"Ahmedabad, Gujarat",Orthopedics,"Lalla Nagar, Ahmedabad, Gujarat 754965"
Fortis Medical Center,"Kochi, Kerala",Heart Problems:Thyroid,"Kaur Zila, Kochi, Kerala 098593"
Narayana Speciality Hospital,"Vadodara, Gujarat",Thyroid:Kidney,"Shetty Zila, Vadodara, Gujarat 612004"
AIIMS Institute,"Vadodara, Gujarat",Diabetes:Heart Problems:Liver:Neurology,"D’Alia Chowk, Vadodara, Gujarat 382675"
Medanta Medical Center,"Nagpur, Maharashtra",Liver:Kidney,"Saini Circle, Nagpur, Maharashtra 617964"
Fortis Hospital,"Chennai, Tamil Nadu",Stroke:Diabetes:Neurology:Liver:Thyroid,"Prabhakar Nagar, Chennai, Tamil Nadu 773515"
Care Hospital,"Vadodara, Gujarat",Stroke:Orthopedics,"Parmer Circle, Vadodara, Gujarat 643171"
AIIMS Speciality Hospital,"Vadodara, Gujarat",Heart Problems:Diabetes:Liver:Stroke:Orthopedics,"Bail Ganj, Vadodara, Gujarat 532931"
Medanta Medical Center,"Coimbatore, Tamil Nadu",Diabetes:Heart Problems:Stroke,"Johal Circle, Coimbatore, Tamil Nadu 352904"
AIIMS Hospital,"Bhopal, Madhya Pradesh",Kidney:Thyroid:Cancer:Stroke,"De Street, Bhopal, Madhya Pradesh 210205"
Global Medical Center,"Indore, Madhya Pradesh",Cancer:Kidney:Stroke:Heart Problems,"Naik Ganj, Indore, Madhya Pradesh 240268"
Medanta Institute,"Mumbai, Maharashtra",Kidney:Cancer:Thyroid:Heart Problems:Diabetes,"Bhatt Zila, Mumbai, Maharashtra 758917"
AIIMS Clinic,"Lucknow, Uttar Pradesh",Liver,"Kant Circle, Lucknow, Uttar Pradesh 847007"
Care Clinic,"Pune, Maharashtra",Liver:Diabetes:Heart Problems:Kidney:Cancer,"Sandhu Marg, Pune, Maharashtra 771159"
Life Institute,"Jaipur, Rajasthan",Neurology,"Bhatti Street, Jaipur, Rajasthan 499856"
Global Institute,"Kochi, Kerala",Heart Problems:Thyroid:Cancer,"Wali, Kochi, Kerala 789611"
Max Health Care,"Patna, Bihar",Stroke,"Kale Circle, Patna, Bihar 736576"
Max Institute,"Kolkata, West Bengal",Orthopedics:Cancer:Neurology:Diabetes:Thyroid,"Chandran Marg, Kolkata, West Bengal 654527"
Global Medical Center,"Ahmedabad, Gujarat",Heart Problems:Gastroenterology,"Chand Zila, Ahmedabad, Gujarat 161528"
Max Medical Center,"Pune, Maharashtra",Cancer:Heart Problems:Kidney,"Narayan Nagar, Pune, Maharashtra 656049"
Shree Hospital,"Kolkata, West Bengal",Kidney:Neurology:Heart Problems,"Pandey Road, Kolkata, West Bengal 983273"
Narayana Health Care,"Nagpur, Maharashtra",Stroke:Liver,"Palla Zila, Nagpur, Maharashtra 149368"
Care Clinic,"New Delhi, Delhi",Diabetes,"Bal, New Delhi, Delhi 024455"
Global Institute,"New Delhi, Delhi",Liver:Kidney:Heart Problems,"Golla Nagar, New Delhi, Delhi 961201"
Fortis Hospital,"Visakhapatnam, Andhra Pradesh",Heart Problems,"Kale Circle, Visakhapatnam, Andhra Pradesh 675254"
Narayana Medical Center,"New Delhi, Delhi",Kidney:Stroke:Cancer:Thyroid:Heart Problems,"Chad Path, New Delhi, Delhi 229014"
Narayana Speciality Hospital,"Kolkata, West Bengal",Orthopedics:Gastroenterology:Diabetes:Liver:Stroke,"Samra Chowk, Kolkata, West Bengal 976438"
Global Hospital,"Kochi, Kerala",Thyroid:Liver,"Pai Zila, Kochi, Kerala 149784"
Max Health Care,"Kolkata, West Bengal",Diabetes,"Kannan Nagar, Kolkata, West Bengal 900343"
Life Medical Center,"Lucknow, Uttar Pradesh",Orthopedics:Diabetes:Gastroenterology:Cancer,"Kumer Street, Lucknow, Uttar Pradesh 510762"
Max Medical Center,"Kochi, Kerala",Cancer:Orthopedics:Kidney:Diabetes:Heart Problems,"Rai Street, Kochi, Kerala 885160"
Medanta Clinic,"Lucknow, Uttar Pradesh",Diabetes:Neurology:Gastroenterology,"Bahl Marg, Lucknow, Uttar Pradesh 159696"
Care Medical Center,"Kochi, Kerala",Neurology:Orthopedics:Cancer,"Mann Marg, Kochi, Kerala 605297"
AIIMS Institute,"Bhopal, Madhya Pradesh",Kidney:Cancer,"Chakrabarti Path, Bhopal, Madhya Pradesh 136968"
Fortis Health Care,"Bangalore, Karnataka",Thyroid:Liver:Cancer,"Randhawa Zila, Bangalore, Karnataka 535218"
Narayana Clinic,"Bhopal, Madhya Pradesh",Kidney:Stroke,"Wali Zila, Bhopal, Madhya Pradesh 552312"
Global Hospital,"Surat, Gujarat",Gastroenterology:Liver:Neurology:Kidney:Cancer,"Hora Road, Surat, Gujarat 921277"
Shree Clinic,"Coimbatore, Tamil Nadu",Liver:Diabetes,"Sen, Coimbatore, Tamil Nadu 527177"
Care Medical Center,"Nagpur, Maharashtra",Diabetes:Thyroid,"Maharaj Road, Nagpur, Maharashtra 581477"
Apollo Hospital,"Ahmedabad, Gujarat",Orthopedics:Stroke,"Bhandari Nagar, Ahmedabad, Gujarat 411998"
Life Hospital,"Jaipur, Rajasthan",Orthopedics:Thyroid:Gastroenterology,"Shere Marg, Jaipur, Rajasthan 793597"
Global Medical Center,"Kolkata, West Bengal",Gastroenterology:Stroke,"Dora Circle, Kolkata, West Bengal 715182"
Care Clinic,"Pune, Maharashtra",Neurology:Thyroid:Orthopedics,"Kota Nagar, Pune, Maharashtra 788925"
Apollo Institute,"Kochi, Kerala",Kidney:Gastroenterology,"Mandal Path, Kochi, Kerala 659051"
Global Clinic,"Pune, Maharashtra",Cancer:Kidney:Gastroenterology:Heart Problems,"Chandra Path, Pune, Maharashtra 449251"
Global Hospital,"Bhopal, Madhya Pradesh",Gastroenterology:Liver,"Dhaliwal, Bhopal, Madhya Pradesh 462914"
Global Institute,"New Delhi, Delhi",Cancer:Kidney:Heart Problems,"Puri Circle, New Delhi, Delhi 281685"
Global Hospital,"Ahmedabad, Gujarat",Cancer:Kidney,"Patil Nagar, Ahmedabad, Gujarat 235733"
Narayana Speciality Hospital,"Indore, Madhya Pradesh",Heart Problems:Gastroenterology:Stroke:Liver:Cancer,"Dubey Street, Indore, Madhya Pradesh 418880"
Fortis Hospital,"Coimbatore, Tamil Nadu",Kidney,"Deep Path, Coimbatore, Tamil Nadu 222927"
Life Speciality Hospital,"Kolkata, West Bengal",Liver:Cancer:Heart Problems:Orthopedics:Thyroid,"Roy Nagar, Kolkata, West Bengal 379473"
Medanta Health Care,"Indore, Madhya Pradesh",Heart Problems:Orthopedics:Kidney:Cancer:Thyroid,"Khare Circle, Indore, Madhya Pradesh 735977"
AIIMS Health Care,"Nagpur, Maharashtra",Orthopedics:Diabetes:Gastroenterology:Heart Problems,"Raja Road, Nagpur, Maharashtra 239240"
Max Clinic,"Indore, Madhya Pradesh",Thyroid:Cancer:Liver:Kidney,"Prabhu Chowk, Indore, Madhya Pradesh 814124"
AIIMS Health Care,"Thiruvananthapuram, Kerala",Kidney:Orthopedics:Gastroenterology:Diabetes:Stroke,"Varghese Chowk, Thiruvananthapuram, Kerala 613750"
Max Institute,"Bhopal, Madhya Pradesh",Cancer:Thyroid:Heart Problems,"Bera Marg, Bhopal, Madhya Pradesh 853615"
Fortis Institute,"Mumbai, Maharashtra",Heart Problems:Cancer:Kidney:Gastroenterology:Neurology,"Bala Ganj, Mumbai, Maharashtra 152204"
Fortis Hospital,"Mumbai, Maharashtra",Liver:Stroke:Cancer:Gastroenterology,"Dewan Chowk, Mumbai, Maharashtra 790104"
Medanta Clinic,"Surat, Gujarat",Kidney:Orthopedics,"Doctor Ganj, Surat, Gujarat 143410"
Fortis Hospital,"Ahmedabad, Gujarat",Liver:Gastroenterology:Orthopedics:Neurology:Cancer,"Saini Ganj, Ahmedabad, Gujarat 117980"
Narayana Clinic,"Mumbai, Maharashtra",Heart Problems:Stroke,"Khurana Circle, Mumbai, Maharashtra 460953"
Care Hospital,"Nagpur, Maharashtra",Gastroenterology,"Saha, Nagpur, Maharashtra 185188"
Life Speciality Hospital,"Ahmedabad, Gujarat",Kidney:Neurology:Thyroid:Stroke,"Tripathi Circle, Ahmedabad, Gujarat 670654"
Medanta Health Care,"Nagpur, Maharashtra",Thyroid,"Parikh Nagar, Nagpur, Maharashtra 531952"
Narayana Hospital,"Indore, Madhya Pradesh",Orthopedics,"Pandey Nagar, Indore, Madhya Pradesh 277221"
AIIMS Speciality Hospital,"Mumbai, Maharashtra",Thyroid:Liver:Stroke:Gastroenterology:Cancer,"Bansal Chowk, Mumbai, Maharashtra 303054"
Narayana Institute,"Pune, Maharashtra",Gastroenterology,"Rao Circle, Pune, Maharashtra 403450"
Medanta Hospital,"Lucknow, Uttar Pradesh",Kidney:Liver,"Mahajan Path, Lucknow, Uttar Pradesh 566765"
Care Clinic,"Kochi, Kerala",Liver:Diabetes:Neurology:Thyroid,"Taneja Street, Kochi, Kerala 584161"
Apollo Clinic,"Bhopal, Madhya Pradesh",Neurology,"Gole Marg, Bhopal, Madhya Pradesh 511544"
Care Medical Center,"Thiruvananthapuram, Kerala",Stroke:Thyroid,"Sandhu Chowk, Thiruvananthapuram, Kerala 757059"
Global Speciality Hospital,"Bhopal, Madhya Pradesh",Cancer:Neurology:Orthopedics:Thyroid,"Maharaj Marg, Bhopal, Madhya Pradesh 165820"
Apollo Institute,"Hyderabad, Telangana",Stroke,"Sarma Street, Hyderabad, Telangana 213556"
Life Speciality Hospital,"Bhopal, Madhya Pradesh",Diabetes:Gastroenterology:Orthopedics:Cancer,"Bali, Bhopal, Madhya Pradesh 755719"
Shree Medical Center,"Bangalore, Karnataka",Liver:Diabetes:Orthopedics,"Wagle Street, Bangalore, Karnataka 654310"
Fortis Health Care,"Vadodara, Gujarat",Stroke:Liver,"Tata Street, Vadodara, Gujarat 814473"
Max Speciality Hospital,"Jaipur, Rajasthan",Heart Problems:Orthopedics:Liver:Kidney,"Mangal, Jaipur, Rajasthan 312172"
Life Clinic,"Bangalore, Karnataka",Diabetes:Liver:Neurology,"Chahal Chowk, Bangalore, Karnataka 518844"
Fortis Speciality Hospital,"New Delhi, Delhi",Stroke:Orthopedics:Gastroenterology:Neurology,"Ghosh Street, New Delhi, Delhi 831323"
AIIMS Clinic,"Lucknow, Uttar Pradesh",Cancer,"Bal Chowk, Lucknow, Uttar Pradesh 895782"
AIIMS Clinic,"Kolkata, West Bengal",Kidney:Heart Problems:Cancer:Stroke:Neurology,"Chadha, Kolkata, West Bengal 467866"
Narayana Institute,"Lucknow, Uttar Pradesh",Stroke:Diabetes:Neurology:Liver:Thyroid,"Borah, Lucknow, Uttar Pradesh 517785"
Apollo Speciality Hospital,"Patna, Bihar",Diabetes:Kidney,"Gopal Street, Patna, Bihar 680182"
Medanta Institute,"Ahmedabad, Gujarat",Neurology:Stroke:Orthopedics:Thyroid:Diabetes,"Gala Road, Ahmedabad, Gujarat 535841"
Medanta Clinic,"Surat, Gujarat",Liver:Stroke,"Hegde Road, Surat, Gujarat 249818"
Apollo Health Care,"Nagpur, Maharashtra",Gastroenterology,"Dube Street, Nagpur, Maharashtra 995900"
Life Hospital,"Chennai, Tamil Nadu",Diabetes:Orthopedics,"Bath Zila, Chennai, Tamil Nadu 396907"
